metrica,base,mejorado,delta_abs,delta_pct
throughput,159.1,163.18,4.0800000000000125,0.025644248900062932
tiempo_total_interno,1692.28,1601.0,-91.27999999999997,-0.053939064457418376
ocupacion_media_patio,0.0899,0.0847,-0.005199999999999996,-0.05784204671857616
ocupacion_pico_patio,0.5904,0.5695,-0.02090000000000003,-0.03539972899729002
espera_carga,67.46,70.19,2.730000000000004,0.04046842573376822
riesgo_salida_baja_readiness,0.00641592897979637,0.006137307091576884,-0.0002786218882194864,-0.04342658547138864
riesgo_congestion,0.10512322388408504,0.09877776969972539,-0.006345454184359653,-0.06036205844825039
vehiculos_retrasados,0.9766049660387673,0.902933488389416,-0.07367147764935134,-0.07543631274800099
estabilidad_operativa,76.15,77.72,1.5699999999999932,0.020617202889034708
